tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
29331,ITA,UK,1999,,200,,2008,LIC,Storm Shadow/SCALP-EG,MI,ASM,L,200,X,2004-2008,Italy,United Kingdom,N,0.64,128,128
60267,IVO,UK,2016,,4,,2016,N/A,AT-105 Saxon,AV,APC,L,4,,2016,Cote d'Ivoire,United Kingdom,S,0.08,0.32,0.32
53170,JAP,UK,2009,,1,,2010,N/A,air refuel system,OT,air refuel system,L,1,,2010,Japan,United Kingdom,N,10,10,10
53726,JAP,UK,2003,,4,,2010,N/A,air refuel system,OT,air refuel system,L,4,,2008-2010,Japan,United Kingdom,N,10,40,40
59380,JAP,UK,2015,,6,,0,N/A,air refuel system,OT,air refuel system,L,2,,2021-2022,Japan,United Kingdom,N,10,60,20
31464,JAP,UK,2003,,14,X,0,ASS,AW101,AC,transport helicopter,L,13,X,2006-2019,Japan,United Kingdom,N,12.5,175,162.5
61192,JAP,UK,2018,X,8,,0,LIC,MT-30,EN,gas turbine,L,3,,2022,Japan,United Kingdom,N,12,96,36
53063,JAP,UK,2007,,16,,2014,LIC,Spey,EN,turbofan,L,16,,2012-2014,Japan,United Kingdom,N,2,32,32
51982,JOR,UK,2009,,12,X,2010,N/A,AT-105 Saxon,AV,APC,L,12,,2010,Jordan,United Kingdom,S,0.08,0.96,0.96
59643,JOR,UK,2015,X,8,,2015,N/A,T-67 Firefly,AC,trainer aircraft,L,8,,2015,Jordan,United Kingdom,S,0.064,0.512,0.512
52216,KOS,UK,2013,,8,,2016,N/A,AW-159 Wildcat,AC,ASW helicopter,L,8,,2016,South Korea,United Kingdom,N,14,112,112
63185,KOS,UK,2019,X,,,0,N/A,Meteor,MI,BVRAAM,L,,,,South Korea,United Kingdom,N,0.8,0,0
55108,KOS,UK,2012,,1,,2018,N/A,MT-30,EN,gas turbine,L,1,,2018,South Korea,United Kingdom,N,12,12,12
60939,KOS,UK,2017,,3,,0,N/A,MT-30,EN,gas turbine,L,3,,2021,South Korea,United Kingdom,N,12,36,36
62352,KOS,UK,2018,X,4,,0,N/A,MT-30,EN,gas turbine,L,,,,South Korea,United Kingdom,N,12,48,0
64147,KOS,UK,2020,,6,X,0,N/A,MT-30,EN,gas turbine,L,,,,South Korea,United Kingdom,N,12,72,0
58873,KOS,UK,2016,,8,X,2019,VIA,Trent-700,EN,turbofan,L,8,X,2018-2019,South Korea,United Kingdom,N,6,48,48
